Unnamed: 0,index,user_name,date,text,label
12570,"""크리스탈""",Flowright_FF14,2018-08-28 08:40:11,헉머야 크리스탈샵 6시까지 점검ㅁ이네ㅔ... 6시 정각에 서버 이전권 사야겟다 ㅜㅜ,0
2482,"""물뽕""",o940816,2018-08-05 06:35:08,"비아그라판매  홈페이지  http://www.via597.ow.to 
비아그라구입
비아그라파는곳
비아그라가격
카톡:Viagra81
드래곤판매
드래곤구입
드래곤가격
드래곤구입처
드래곤파는곳
물뽕정품판매
카톡:Viagra81
레비트라구입
강력드레곤구입방법
정품드레곤구입방법
~\&$☆| pic.twitter.com/sUPdwolHqW",1
94366,"""아이스""",nya_ark_myco,2019-05-18 14:08:49,방독면 쓸 필요가 잇나요 그냥 안 가면 되는데~~ 쾌적한 카페~~~ 에어컨~ 아이스 라떼~~(현: 그래 저리 가라,0
49304,"""아이스""",_L_ANA_,2018-07-29 17:04:57,헉♡♡!♡!♡!♡!♡!///)♡♡♡♡♡♡♡♡♡조조와요!♡!♡!♡!♡!♡!♡!!!!!♡!♡!♡!♡!♡!♡!♡!♡ 히히 가현이랑 세계일주가 꿈인 다큰 할부디 아이스 입니다ㅠ(;),0
1508,"""물뽕""",an314685,2018-08-12 02:10:00,"비아그라판매  홈페이지  http://www.via597.ow.to 
비아그라구입
비아그라파는곳
비아그라가격
카톡:Viagra81
드래곤판매
드래곤구입
드래곤가격
드래곤구입처
드래곤파는곳
물뽕정품판매
카톡:Viagra81
레비트라구입
강력드레곤구입방법
정품드레곤구입방법
;＃▼※※↑ pic.twitter.com/ZGAyrJeDnf",1
85330,"""아이스""",Sin_Dieu,2019-04-26 08:17:10,에스이젤 취좃은 이젤만 할 수 잇는 거죠 쟤네가 뭐라하든 에스티니앙 갑옷은 아이스하트^^!,0
84029,"""아이스""",lusha1206,2019-05-03 03:47:29,아이스 자몽차 pic.twitter.com/RvwfAkzgMY,0
12874,"""크리스탈""",Mr_kkondae,2018-08-15 12:26:40,"#여돌취향 
트와: 사나
레벨: 조이
맘무: 휘인
블핑: 젠득
옴걸: 지호
이달소: 올혜
에핑: 손나은
AOA: 혜정??맞는지몰루겟네
f(x): 크리스탈!!!
아이들: 미연
여친: 은하
우소: 설아
플틴: 민경
모랜: 연우
다이아: 주은
윜밐: 도연

나두해보고시퍼써",0
57260,"""크리스탈""",Xgg69OsjIimUeo8,2019-05-19 00:55:42,헉 에아님도 숨겨진 정체가 바로 크리스탈칠드런..!!,0
36143,"""아이스""",hanl_11,2018-08-13 03:44:20,@id_zumin  점인님 망고빙수 먹었어요! 생망고가 품절이라 아쉽게 아이스망고로 먹었지만 달달해서 정말 맛있어요 추천해주셔서 감사해요,0
2163,"""물뽕""",cmLfihfSxqg7ppW,2018-08-15 09:20:51,"비아그라구입 최저가  홈페이지  http://www.via597.ow.to    
비아그라구입º
비아그라판매$
시간연장하기
초강력물뽕구입하는곳
비아그라시알리스@
☞ 카톡:Viagra81
★☆-▽$; pic.twitter.com/MEeEdH6pw1",1
83523,"""아이스""",jyjyjy1114,2019-04-10 13:21:18,오늘 남은치킨 두조각이랑 브라솔에 우유 넣어먹고 생크림요거트에 브라우니 초코두유 항상 마시는 아이스아메리카노 이렇게 먹었다. 분명.. 별로 안먹었어. ㅋㅋㅋ,0
1990,"""물뽕""",wp0921,2018-08-02 14:12:33,"비아그라판매  홈페이지  http://www.via597.ow.to 
비아그라구입
비아그라파는곳
비아그라가격
카톡:Viagra81
드래곤판매
드래곤구입
드래곤가격
드래곤구입처
드래곤파는곳
물뽕정품판매
카톡:Viagra81
레비트라구입
강력드레곤구입방법
정품드레곤구입방법
*▲§□""＃ pic.twitter.com/t2Smqdl8Ew",1
1072,"""물뽕""",Lhyun0102,2018-07-16 04:24:28,"비아그라구입 최저가  ☞ 카톡:Viagra81
비아그라구입º
비아그라판매$
시간연장하기
초강력물뽕구입하는곳
비아그라시알리스@

=□□}○\ pic.twitter.com/RN4aYWN33t",1
47417,"""아이스""",xvqqqqqq,2018-08-02 06:08:17,내리자마자 아이스아메리카노 잔얼음 꽉찬걸로 일톤 안 먹으면 자결한다,0
3004,"""물뽕""",hihi4455,2018-07-23 16:18:23,"비아그라판매
비아그라구입
비아그라파는곳
비아그라가격
카톡:Viagra81
드래곤판매
드래곤구입
드래곤가격
드래곤구입처
드래곤파는곳
물뽕정품판매
카톡:Viagra81
레비트라구입
강력드레곤구입방법
정품드레곤구입방법
\←!~↑* pic.twitter.com/48xWBuD7nT",1
40141,"""아이스""",letyougay,2018-08-04 05:45:59,아이스마인 삽니다. 개당 5숲에 사요,0
105472,"""아이스""",BbN8qpOtS3YeOPv,2019-05-29 07:33:29,"Posted to Hatena Blog
#에어쿠쉬&quot;텔레:Airkush,아이스구매방법,아이스판매사이트,아이스가격,아이스효과,아이스후불제,    - airkush’s diary https://airkush.hatenablog.com/entry/2019/05/29/163321 … #はてなブログ",1
3838,"""물뽕""",kimjilte12,2018-07-30 01:13:37,"비아그라구입 최저가  ☞ 카톡:Viagra81
비아그라구입º
비아그라판매$
시간연장하기
초강력물뽕구입하는곳
비아그라시알리스@

((-○+' pic.twitter.com/fTrOEw2r3H",1
17772,"""도리도리""",half_jsh,2018-07-21 09:52:01,"(도리도리) ㅇ,아닌데요?",0
97401,"""아이스""",flower_tangerin,2019-05-12 11:18:31,"뭐야 에스프레소라도 마셨어? — 저눈 에스프레소먹으면 이틀도 밤샐수 있어요!
아마 아이스 커피 때문이였을껄요! https://lap78.ask.fm/igoto/45DKECPW7B667HQMHN2IG6NM3OWSRCQTXXKMFWPEKHV2XYNMYIYNC6KOFJHM6RJUKS3PUEAJI5RH6FIN5U36Y3N7NLRP5BJDRYDB3ACPA5OTSMP6GWOCQ27RTGTO7XSURD22QNYD73IE3MVDDTBU2WLX7XZHX4EQ2HMVH2DK2C33QUOYLNOSDA6EYJC372WGTESKIESNXZ4IFVA= …",0
14618,"""도리도리""",BTY_IST,2018-07-16 18:04:42,(도리도리) (전...무섭단말이에요...그 털들어간 음료..),0
2946,"""물뽕""",tntkorea,2018-07-24 03:51:36,"비아그라구입 최저가  ☞ 카톡:Viagra81
비아그라구입º
비아그라판매$
시간연장하기
초강력물뽕구입하는곳
비아그라시알리스@
]★&←○→ pic.twitter.com/2zuZIvJvtN",1
34055,"""아이스""",p_bbang,2018-08-31 00:28:35,나도 포와로에서 아무로표 햄샌드와 아이스아메리카노로 해결하는 아침식사 할 줄 아는데ㅜㅜㅜㅡ나도 포와로 단골 될 줄 아는데ㅜㅜㅜㅠㅜㅡㅜㅜㅜㅠㅡㅜㅡㅜ,0
102202,"""아이스""",cho_809,2019-05-26 10:15:20,"펩시 노래 넘 좋아서 생각났는데 ㅋㅋ ㅋ 음료 광고음악 중에 진짜 시원한 느낌 든다고 생각했던 곡이 진로 하이트 광고에 나온 팬텀 - 아이스 ...... 지금 보니까 벌써 7년 전이네 

[하이트진로] 하이트맥주 아이스포인트 김연아의 댄스편 CF 20초 https://youtu.be/sNeA0MqoPxU ",0
1820,"""물뽕""",kyse120,2018-08-19 15:30:12,"비아그라판매  홈페이지  http://www.via597.ow.to 
비아그라구입
비아그라파는곳
비아그라가격
카톡:Viagra81
드래곤판매
드래곤구입
드래곤가격
드래곤구입처
드래곤파는곳
물뽕정품판매
카톡:Viagra81
레비트라구입
강력드레곤구입방법
정품드레곤구입방법
●＆!'}# pic.twitter.com/FItircUQn2",1
76942,"""도리도리""",Danhei_M2S,2019-05-28 13:16:21,(부르르)(도리도리),0
20368,"""도리도리""",RJSJJVJB0613,2018-08-30 09:22:37,호비 이쁜거 모르는 사람이 있어서 안댑니다 (도리도리,0
33805,"""아이스""",kimaru1489,2018-08-31 16:30:51,"노조미 요정미각성
노조미 해적미각성
노조미 아이스플레이버 미각성
노조미 꽃다발각성1
노조미 꽃다발각성2
노조미 화관미각성
백모래
페로나 2년후
보아행콕 등장버전
셀프웨딩드레스

이걸 일단 4개로 줄여보자..
여러분 이중에 4개 추천부탁드립니다",0
4035,"""물뽕""",48b0b941fbe040d,2018-07-28 14:01:17,"비아그라구입 최저가  ☞ 카톡:Viagra81
비아그라구입º
비아그라판매$
시간연장하기
초강력물뽕구입하는곳
비아그라시알리스@

←%◇§+§ pic.twitter.com/kbd3oBpWkk",1
4112,"""물뽕""",S039H,2018-07-28 01:28:07,"비아그라구입 최저가  ☞ 카톡:Viagra81
비아그라구입º
비아그라판매$
시간연장하기
초강력물뽕구입하는곳
비아그라시알리스@

→_←←☆＆ pic.twitter.com/FEPZuxEws7",1
26378,"""짝대기""",weeee_an,2018-07-27 13:00:35,오잉? 짝대기 하나 더붙었다,0
68996,"""도리도리""",min_h_ee,2019-04-09 11:51:39,"내가 잘못 본 거일 수도 있는데.,. 하도 강민희 불러대서 옆에 있던 토니랑 막 너 진짜 많이 불린다 / 인기 많다 식으로 말하고 미니가 아니라면서 겸손하게? 도리도리 손사레 쳤음 근데 토니도 현장반응 괜찮은 편이엇거든여 다들 잘생겼다고 하고... 제 기준으로 마마조는 강민희 황윤성 부르는 소리",0
1011,"""물뽕""",acehunte,2018-07-04 01:16:51,"비아그라구입 홈피  ☞ http://iii.im/5GGb 
발기부전치료♪
비아그라판매♩
고혈압
물뽕구입하는곳
씨알리스정품
*^&*(23
○○○○○

우산원단 pic.twitter.com/bHsvmnpTwX",1
20744,"""도리도리""",dori_isnt_cute,2018-08-28 07:27:35,(절레절레 도리도리) 아닙니다,0
2758,"""물뽕""",3f7761a6261a497,2018-08-07 23:16:54,"비아그라구입 최저가  홈페이지  http://www.via597.ow.to    
비아그라구입º
비아그라판매$
시간연장하기
초강력물뽕구입하는곳
비아그라시알리스@
☞ 카톡:Viagra81
~§→""-% pic.twitter.com/UPawGkQSPr",1
3911,"""물뽕""",cThaPVWYfwntcre,2018-07-29 11:08:34,"비아그라구입 최저가  ☞ 카톡:Viagra81
비아그라구입º
비아그라판매$
시간연장하기
초강력물뽕구입하는곳
비아그라시알리스@

＃■→#←' pic.twitter.com/SpPvvHC9Gv",1
30032,"""아이스""",Carena_FF14,2018-08-20 09:25:48,ㅠ아이스하트,0
3332,"""물뽕""",an314685,2018-07-26 21:27:19,"비아그라구입 최저가  ☞ 카톡:Viagra81
비아그라구입º
비아그라판매$
시간연장하기
초강력물뽕구입하는곳
비아그라시알리스@
★;★↑@ pic.twitter.com/fyCTQumnoj",1
1377,"""물뽕""",en_hwang,2018-08-16 23:24:34,"비아그라구입 최저가  홈페이지  http://www.via597.ow.to    
비아그라구입º
비아그라판매$
시간연장하기
초강력물뽕구입하는곳
비아그라시알리스@
☞ 카톡:Viagra81
＆↓)$); pic.twitter.com/kYl9dXtU4R",1
