Unnamed: 0,index,user_name,date,text,label,topic,cls_result,vote
36421,"""아이스""",azaaza85,2018-07-09 07:50:41,"뚜레쥬르 이벤트_뚜레쥬르 아이스 디저트
https://www.tlj.co.kr:7008/community/event/view.asp?b_idx=6034&brd_id=2 …",0,-1,0,0
2937,"""물뽕""",minjohi2,2018-07-24 07:16:57,"비아그라구입 최저가  ☞ 카톡:Viagra81
비아그라구입º
비아그라판매$
시간연장하기
초강력물뽕구입하는곳
비아그라시알리스@
'↑_[:★ pic.twitter.com/w342MTMpnz",1,3,1,1
32446,"""아이스""",choo_pa_,2018-08-22 12:24:06,진짜존나좋아 ㅜㅜㅜㅜ! 콜드아이스베이비 아미고같은역할 해줘ㅜㅠㅠㅠㅠㅜㅜㅜㅜ pic.twitter.com/7Vi7v1fD6H,0,-1,0,0
49028,"""아이스""",ItsNotYourPlace,2018-07-30 09:55:33,예전에 악마에게 아이스볼을 선물받은 일이 있었어 이교도의 선물이라 불길해서 버리고 싶었지만 신의 행동은 사소한 것도 큰 의미가 된다는 걸 알기 때문에 오래된 벽장에 방치해두었지,0,-1,0,0
2182,"""물뽕""",jungyw123,2018-08-15 03:26:21,"비아그라판매  홈페이지  http://www.via597.ow.to 
비아그라구입
비아그라파는곳
비아그라가격
카톡:Viagra81
드래곤판매
드래곤구입
드래곤가격
드래곤구입처
드래곤파는곳
물뽕정품판매
카톡:Viagra81
레비트라구입
강력드레곤구입방법
정품드레곤구입방법
◇*]★{@ pic.twitter.com/6MNCBNwFLL",1,2,1,1
17630,"""도리도리""",_0829_1015,2018-07-21 18:59:49,도리도리 하는게 너무 귀여워서 내가 참을수가없어서 드와쉔 벽을 박살내고싶었는데 내가,0,-1,0,0
81164,"""아이스""",ShinkaikanataTK,2019-04-09 03:52:02,… (뾰루퉁 …) (새로운 아이스 붕어빵 주고 쪼르르 도망),0,-1,0,0
80497,"""아이스""",DW_Romance,2019-04-14 09:48:05,"[출간 기념 RT 이벤트]

“변치 않는 충성과 빛나는 영광을 당신께 바치겠습니다.”

담적단 작가님의 <디 에이지 오브 글로리(The Age of Glory) -영광의 시대->의 출간을 축하해주세요
RT해 주신 분들 중 한 분께 아이스 카라멜마끼아또를 보내드립니다.
당첨자 발표는 4월 22일(월) 저녁입니다! pic.twitter.com/LoKv2wxJyq",0,1,0,0
51146,"""아이스""",taerin_noname,2018-07-13 13:06:17,아 진짜 귀엽다 진짜 미친 아이스베어 그자체ㅠ pic.twitter.com/aGI49EDibo,0,5,0,0
22308,"""도리도리""",True_romance__,2018-08-15 12:17:22,"(고개를 도리도리 젓는다.) 아뇨, 홍이수. 이수가 이름이에요. 이수 씨, 하고 잘 불려서.",0,-1,0,0
54004,"""물뽕""",nuV7bPW2Q967Gse,2019-05-31 09:30:00,"""약효확실하게 보장드리는 제품으로 운영하고있습니다 언제든편하게 연락주세요^^
강력물뽕구ㅁㅐ하는곳
펜토바르비탈 판매하는곳
ㅇㅕ성흥분ㅈㅔ판ㅁㅐ   ㅋㅏ톡: NNJJ33
여성최음ㅈㅔ파는곳
조루방지제효과#  #  # """,1,53,1,1
93214,"""아이스""",jin_pepper,2019-05-15 06:25:28,"점심에 비싼 소고기 먹고 아이스아메리카노를 원샷 했더니 바로 신호가..
ㅋㅋ",0,6,0,0
2278,"""물뽕""",wawpops,2018-08-13 20:07:02,"비아그라판매  홈페이지  http://www.via597.ow.to 
비아그라구입
비아그라파는곳
비아그라가격
카톡:Viagra81
드래곤판매
드래곤구입
드래곤가격
드래곤구입처
드래곤파는곳
물뽕정품판매
카톡:Viagra81
레비트라구입
강력드레곤구입방법
정품드레곤구입방법
-↓▲{▽) pic.twitter.com/Y2aAr2cj9I",1,2,1,1
2018,"""물뽕""",alice66767,2018-08-02 06:58:35,"비아그라구입 최저가  홈페이지  http://www.via597.ow.to    
비아그라구입º
비아그라판매$
시간연장하기
초강력물뽕구입하는곳
비아그라시알리스@
☞ 카톡:Viagra81
◆■※`◎◆ pic.twitter.com/lhLdGBuIVg",1,0,1,1
77615,"""도리도리""",FP__T_HSK,2019-05-26 12:00:59,네?.  아이 아닙니다!(도리도리),0,12,0,0
63563,"""크리스탈""",BbN8qpOtS3YeOPv,2019-05-29 07:12:56,"Posted to Hatena Blog
#에어쿠쉬&quot;텔레:Airkush,weed구별,허브구별,크리스탈구별,대마구별,대마초구별,북한떨구별,쿠쉬구별,시원한술구별,차가운술구별,필로폰구별, - airkush’s diary https://airkush.hatenablog.com/entry/2019/05/29/161229 … #はてなブログ",1,-1,1,0
